,Type,Account Group Code,Ledger Account Code,Ledger Account Name,GL Account
0,A,SundryDebtors,A020700,AB CAPITAL SECURITIES INC. - BK28,2101001003.0
1,A,SundryDebtors,A020700,AB CAPITAL SECURITIES INC. - BK28,1103024002.0
2,A,SundryDebtors,A020700,AB CAPITAL SECURITIES INC. - BK28,2101001003.0
3,A,SundryDebtors,A020700,AB CAPITAL SECURITIES INC. - BK28,1103024001.0
4,A,SundryDebtors,A020703,ABACUS SECURITIES CORPORATION - BK29,2101001003.0
5,A,SundryDebtors,A020703,ABACUS SECURITIES CORPORATION - BK29,1103024002.0
6,A,SundryDebtors,A020703,ABACUS SECURITIES CORPORATION - BK29,2101001003.0
7,A,SundryDebtors,A020703,ABACUS SECURITIES CORPORATION - BK29,1103024001.0
8,L,CurrentLiabilities,L014452,Account Payable,2101001003.0
9,A,CurrentAssets,A014882,Account Receivable,1103024002.0
10,A,CurrentAssets,A023664,Accum Imp Loss-CNB-CBonds,1209005002.0
11,A,CurrentAssets,A023665,Accum Imp Loss-CNB-Cbonds-Current,1209002151.0
12,A,CurrentAssets,A023667,Accum Imp Loss-CNB-CNotes,1209005001.0
13,A,CurrentAssets,A023668,Accum Imp Loss-CNB-Cnotes-Current,1209002150.0
14,A,CurrentAssets,A023666,Accum Imp Loss-FVOCI-CBonds,1209004006.0
15,A,CurrentAssets,A023669,Accum Imp Loss-IR CNB-Corporate Bonds,1209003002.0
16,A,CurrentAssets,A023670,Accum Imp Loss-IR CNB-Corporate Notes,1209003001.0
17,A,CurrentAssets,A023671,Accumulated Imp Loss- Int Rec FVTOCI CNB-Corporate Bonds,1209002501.0
18,E,ExpenseLosses,E021162,Amortization Expense in Corporate Bonds,4003024003.0
19,E,ExpenseLosses,E021162,Amortization Expense in Corporate Bonds,4003007002.0
20,E,ExpenseLosses,E020952,Amortization Expense in FXTN,4003024002.0
21,E,ExpenseLosses,E020952,Amortization Expense in FXTN,4003006001.0
22,E,ExpenseLosses,E021120,Amortization Expense in Government Bonds,4003024002.0
23,E,ExpenseLosses,E021120,Amortization Expense in Government Bonds,4003006001.0
24,E,ExpenseLosses,E020994,Amortization Expense in RTB,4003024002.0
25,E,ExpenseLosses,E020994,Amortization Expense in RTB,4003006001.0
26,E,ExpenseLosses,E022328,Amortization Expense in Tokenized Treasury Bond,4003024002.0
27,E,ExpenseLosses,E022328,Amortization Expense in Tokenized Treasury Bond,4003006001.0
28,I,IncomeGains,I021148,Amortization Income on Corporate Bonds,4003024003.0
29,I,IncomeGains,I021148,Amortization Income on Corporate Bonds,4003007002.0
30,I,IncomeGains,I020938,Amortization Income on FXTN,4003024002.0
31,I,IncomeGains,I020938,Amortization Income on FXTN,4003006001.0
32,I,IncomeGains,I021106,Amortization Income on Government Bonds,4003024002.0
33,I,IncomeGains,I021106,Amortization Income on Government Bonds,4003006001.0
34,I,IncomeGains,I020980,Amortization Income on RTB,4003024002.0
35,I,IncomeGains,I020980,Amortization Income on RTB,4003006001.0
36,I,IncomeGains,I022314,Amortization Income on Tokenized Treasury Bond,4003024002.0
37,I,IncomeGains,I022314,Amortization Income on Tokenized Treasury Bond,4003006001.0
38,A,SundryDebtors,A020704,"AP SECURITIES, INCORPORATED - BK30",2101001003.0
39,A,SundryDebtors,A020917,"Asiasec Equities, Inc. - BK52",2101001003.0
40,A,SundryDebtors,A020707,"BA SECURITIES, INC. - BK31",2101001003.0
41,E,ExpenseLosses,E022188,Bank Charges in BPI - Savings Account - 1991005486,6002022000.0
42,E,ExpenseLosses,E022198,Bank Charges in CBC - Savings Account - 2034798713,6002022000.0
43,E,ExpenseLosses,E020829,Bank Charges in DBP BEN - Savings Account - 0405018831088,6002022000.0
44,E,ExpenseLosses,E021973,Bank Charges in DBP BEN - Savings Account - 0405018831091,6002022000.0
45,E,ExpenseLosses,E020824,Bank Charges in DBP EC FUND - Savings Account - 0405018831080,6002022000.0
46,E,ExpenseLosses,E020819,Bank Charges in DBP EQUITIES - Savings Account - 0405018831530,6002022000.0
47,E,ExpenseLosses,E020834,Bank Charges in DBP LOANS - Savings Account - 0405018831089,6002022000.0
48,E,ExpenseLosses,E021963,Bank Charges in DBP LOANS - Savings Account - 0405018831091,6002022000.0
49,E,ExpenseLosses,E023570,Bank Charges in DBP Main 2 - Checking Account - 0405018833531,6002022000.0
